,STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,DATE
41,SD,0.00055,0.0004,0.001083,0.000973,0.000307,0.004686,0.000215,0.000273,0.000261,0.000223,0.000359,3.6e-05,0.035705,0.004274,0.001769,0.00143,0.003839,0.000949,0.000455,0.000171,0.000285,0.000242,0.000499,0.023444,0.002401,0.000554,0.019092,0.000252,0.053873,0.044308,0.000267,0.000178,0.002067,0.001521,0.000174,0.000652,0.001695,0.001239,0.000434,0.000248,0.000328,0.964598,0.00068,0.000441,0.002572,0.000365,0.00018,0.001826,0.002972,0.00076,0.06301,2020-06-03
42,TN,0.000825,0.072268,0.059362,0.004462,0.001645,0.004464,0.003645,0.004372,0.004864,0.01273,0.05426,0.000343,0.008705,0.005178,0.017047,0.027894,0.007709,0.121159,0.011803,0.00229,0.006344,0.003145,0.009256,0.003955,0.020134,0.141195,0.006085,0.028859,0.00447,0.007768,0.002611,0.003369,0.013464,0.004016,0.002504,0.019325,0.00944,0.002346,0.007304,0.002602,0.028876,0.007192,0.975533,0.005149,0.004875,0.035241,0.004279,0.001632,0.007505,0.026002,0.020917,2020-06-03
43,TX,0.004438,0.014058,0.084854,0.020476,0.00638,0.023229,0.003033,0.004138,0.003149,0.007231,0.007897,0.001102,0.010111,0.010357,0.009616,0.009345,0.025422,0.009873,0.103038,0.002469,0.004222,0.003367,0.003776,0.005,0.018353,0.027079,0.015588,0.004727,0.008147,0.014451,0.002302,0.002649,0.188624,0.013369,0.001965,0.005679,0.118923,0.006027,0.004809,0.002255,0.006208,0.01283,0.014094,0.994896,0.013516,0.00656,0.003828,0.004108,0.005329,0.007293,0.040834,2020-06-03
44,UT,0.001767,0.000836,0.002018,0.012251,0.005241,0.018398,0.000631,0.00121,0.000689,0.000523,0.001023,0.000488,0.004541,0.0784,0.00245,0.002229,0.003645,0.00178,0.000983,0.000452,0.000761,0.000645,0.00093,0.001991,0.003126,0.001231,0.040335,0.000632,0.006082,0.010941,0.000393,0.000614,0.015986,0.059178,0.000531,0.001367,0.00303,0.010181,0.001181,0.00052,0.000798,0.007503,0.001526,0.00148,0.980559,0.000993,0.001576,0.00593,0.001441,0.001438,0.111237,2020-06-03
45,VA,0.000746,0.004944,0.005795,0.002293,0.000938,0.002012,0.012381,0.393699,0.048989,0.005882,0.008892,0.000343,0.003153,0.002254,0.004301,0.007265,0.002385,0.017323,0.003492,0.007827,0.151956,0.009898,0.003131,0.001434,0.003672,0.005265,0.003118,0.064468,0.001838,0.003219,0.00859,0.015061,0.006516,0.002309,0.010006,0.010899,0.003208,0.001388,0.025093,0.00808,0.025334,0.003151,0.03291,0.002093,0.002736,0.979258,0.010944,0.001088,0.002664,0.14947,0.009652,2020-06-03
46,VT,0.0,8.3e-05,0.000139,0.000105,3.9e-05,8.2e-05,0.009035,0.000156,0.000429,0.000114,0.000111,1.8e-05,0.000165,0.000201,0.000233,0.000337,8e-05,0.000199,4.9e-05,0.011173,0.000328,0.007035,0.000127,8.4e-05,0.000188,8.9e-05,0.000215,0.000219,0.000182,0.000168,0.069464,0.001302,0.000199,0.000138,0.0055,0.000344,0.000103,0.000101,0.000779,0.003668,0.000184,0.000207,0.000188,4.3e-05,0.000157,0.000405,0.971941,5e-05,0.000165,0.000446,0.000549,2020-06-03
47,WA,0.032599,0.000422,0.000864,0.003213,0.003009,0.002749,0.000436,0.000625,0.00028,0.000424,0.000553,0.003505,0.0017,0.139479,0.001093,0.001028,0.0013,0.00079,0.000545,0.000361,0.00048,0.000464,0.000462,0.001192,0.00133,0.000638,0.034981,0.000453,0.003654,0.002882,0.000295,0.000416,0.004122,0.006408,0.000364,0.000671,0.00126,0.151493,0.000624,0.000273,0.000498,0.00541,0.000816,0.000683,0.007821,0.000635,0.00045,0.991266,0.000795,0.000618,0.019142,2020-06-03
48,WI,0.000786,0.001611,0.003696,0.001811,0.000609,0.002341,0.00153,0.000625,0.001174,0.001155,0.001769,9e-05,0.040646,0.003482,0.081309,0.012432,0.004034,0.005345,0.001008,0.001492,0.001653,0.003225,0.009543,0.133267,0.005688,0.001922,0.008536,0.001616,0.016634,0.007493,0.00153,0.001215,0.004437,0.002412,0.001,0.004684,0.003034,0.001527,0.003034,0.001165,0.001696,0.015152,0.003679,0.001137,0.00288,0.001968,0.002297,0.001597,0.983608,0.004629,0.014558,2020-06-03
49,WV,0.000275,0.001677,0.002546,0.00084,0.000283,0.001034,0.002435,0.01503,0.006559,0.001623,0.002579,1.8e-05,0.002155,0.00135,0.002911,0.006416,0.001584,0.026043,0.001192,0.001524,0.041958,0.002177,0.002983,0.000997,0.002496,0.001864,0.001634,0.010226,0.001248,0.00195,0.001881,0.002499,0.002861,0.001071,0.002303,0.041973,0.001465,0.000649,0.032967,0.001735,0.010636,0.001534,0.0049,0.000691,0.001489,0.036853,0.002747,0.000381,0.001895,0.958003,0.005907,2020-06-03
50,WY,0.00055,0.000753,0.001947,0.002963,0.001622,0.027652,0.000664,0.00039,0.000503,0.000431,0.000752,7.2e-05,0.005106,0.034585,0.002317,0.002241,0.003949,0.001688,0.00082,0.000377,0.000678,0.000544,0.000688,0.002364,0.003135,0.001231,0.052998,0.000554,0.012776,0.022991,0.000323,0.000476,0.008536,0.007998,0.000421,0.001296,0.003068,0.006261,0.001023,0.000372,0.000648,0.033847,0.001465,0.001036,0.035497,0.000847,0.000946,0.00387,0.001552,0.001307,0.930856,2020-06-03
0,AK,0.994887,0.000101,4.2e-05,0.000374,9.9e-05,0.000229,2.4e-05,0.000134,3.4e-05,9.3e-05,7.1e-05,0.001431,3.5e-05,0.000668,6.3e-05,5e-05,6e-05,5.5e-05,7.6e-05,3e-05,3.3e-05,3.6e-05,5e-05,0.000138,4.6e-05,5.7e-05,0.000794,8.8e-05,0.000113,0.000151,5.2e-05,7e-06,9.2e-05,0.000218,2.9e-05,3.2e-05,7.2e-05,0.00031,1.2e-05,4.6e-05,6.9e-05,0.0001,6.7e-05,7.6e-05,0.000374,3.1e-05,0.0,0.001315,8.9e-05,2.9e-05,0.000119,2021-01-06
1,AL,0.001704,0.989002,0.016238,0.00334,0.000984,0.004547,0.001441,0.017155,0.002557,0.03555,0.083468,0.001001,0.00452,0.002693,0.006905,0.008999,0.004836,0.015823,0.041504,0.00091,0.002827,0.001348,0.003302,0.002023,0.008565,0.144455,0.004348,0.008551,0.001814,0.00274,0.001501,0.001347,0.010428,0.002703,0.001074,0.004504,0.006993,0.001208,0.002418,0.001292,0.013435,0.002273,0.063479,0.008197,0.002711,0.007183,0.001672,0.001118,0.003644,0.004799,0.011159,2021-01-06
2,AR,0.000718,0.008602,0.98506,0.004795,0.001289,0.005563,0.000953,0.01233,0.001432,0.00268,0.004442,0.000458,0.005482,0.002555,0.007477,0.007107,0.015154,0.009118,0.03388,0.000789,0.002233,0.000729,0.002375,0.0024,0.049339,0.038509,0.003637,0.002484,0.002759,0.005643,0.000828,0.001124,0.018983,0.002836,0.000811,0.003509,0.072093,0.001125,0.002201,0.000554,0.002918,0.003476,0.030483,0.019184,0.003335,0.003782,0.000836,0.000648,0.003193,0.003646,0.013486,2021-01-06
3,AZ,0.005383,0.001835,0.004317,0.987335,0.023912,0.016096,0.000929,0.00717,0.001125,0.002344,0.002342,0.007353,0.005565,0.014328,0.005074,0.003644,0.006331,0.002474,0.002809,0.000857,0.001631,0.001093,0.002811,0.00659,0.004953,0.002499,0.01179,0.001716,0.012625,0.008499,0.000802,0.001265,0.075609,0.060995,0.000994,0.002422,0.008039,0.009438,0.001561,0.001154,0.001502,0.00849,0.003346,0.006676,0.035388,0.002241,0.000418,0.007906,0.004011,0.00134,0.025361,2021-01-06
4,CA,0.010496,0.002142,0.003841,0.064407,0.997228,0.014596,0.001774,0.016083,0.001705,0.003458,0.002899,0.040913,0.002932,0.031662,0.004387,0.003106,0.004337,0.00254,0.002993,0.00201,0.002596,0.00153,0.002469,0.003794,0.003679,0.002482,0.016389,0.001999,0.004158,0.005678,0.001294,0.001981,0.037111,0.14724,0.001866,0.002211,0.00625,0.046248,0.001967,0.001154,0.002048,0.005047,0.003469,0.005779,0.035536,0.003365,0.00117,0.018424,0.002359,0.001614,0.028762,2021-01-06
5,CO,0.006369,0.003612,0.007693,0.013751,0.004829,0.983635,0.001096,0.013134,0.002012,0.006406,0.003877,0.006294,0.009521,0.018022,0.005325,0.003947,0.025963,0.003421,0.006595,0.001373,0.002536,0.000984,0.002794,0.005723,0.010203,0.004169,0.028347,0.002334,0.015989,0.038919,0.001216,0.00151,0.057805,0.011491,0.001245,0.002597,0.013783,0.007073,0.001723,0.001108,0.002246,0.018986,0.004575,0.014677,0.02611,0.002945,0.001254,0.005432,0.003995,0.001398,0.204678,2021-01-06
6,CT,0.000718,0.000526,0.000578,0.000592,0.000289,0.000962,0.984662,0.010923,0.007195,0.002488,0.000984,0.000801,0.000411,0.000747,0.000993,0.001517,0.000461,0.001091,0.00033,0.085705,0.00502,0.017704,0.000732,0.000452,0.000603,0.000454,0.000836,0.001636,0.000416,0.000581,0.027609,0.01591,0.001133,0.000485,0.045384,0.001696,0.00054,0.000351,0.005918,0.167344,0.001997,0.000334,0.001087,0.000387,0.000726,0.003939,0.045561,0.000226,0.00064,0.001801,0.002566,2021-01-06
7,DC,0.000359,0.000488,0.000238,0.000343,0.000265,0.000552,0.001965,0.735442,0.0104,0.001685,0.000934,0.000629,0.000139,0.000354,0.000424,0.000422,0.000201,0.00038,0.000425,0.001403,0.122558,0.001056,0.000356,0.000163,0.000231,0.000352,0.000293,0.002069,0.000151,0.000104,0.00088,0.002745,0.000301,0.000352,0.001876,0.000561,0.000193,9.3e-05,0.002911,0.001523,0.001364,0.000267,0.000589,0.000339,0.000533,0.05107,0.00117,0.000196,0.000306,0.005,0.000358,2021-01-06
8,DE,9e-05,0.00039,0.00031,0.00027,0.000122,0.000336,0.004204,0.025866,0.964742,0.001423,0.000803,0.000315,0.000258,0.000275,0.000402,0.00068,0.000156,0.000617,0.000288,0.002063,0.087366,0.001676,0.000289,0.000201,0.000309,0.000312,0.000544,0.002015,0.000227,0.000255,0.001371,0.022394,0.000416,0.000206,0.003936,0.000796,0.000217,0.000103,0.041585,0.002215,0.001674,0.000201,0.000605,0.000192,0.000295,0.009624,0.003846,0.000119,0.000345,0.002536,0.001193,2021-01-06
9,FL,0.00619,0.082775,0.012279,0.006982,0.003645,0.018451,0.01847,0.048516,0.021959,0.992837,0.08313,0.003204,0.014028,0.005365,0.030081,0.031456,0.010623,0.028654,0.023419,0.018728,0.02078,0.009908,0.032021,0.01867,0.016317,0.027541,0.008404,0.028063,0.009979,0.00995,0.010816,0.0214,0.009966,0.008279,0.017506,0.025175,0.008652,0.003531,0.015101,0.018091,0.034986,0.010095,0.03202,0.011391,0.010855,0.022917,0.006855,0.004944,0.018187,0.013661,0.017663,2021-01-06
10,GA,0.005652,0.134657,0.0116,0.005475,0.00216,0.008045,0.007193,0.048114,0.010707,0.085371,0.988107,0.002689,0.007174,0.004619,0.014143,0.020548,0.006874,0.029232,0.016499,0.005272,0.013309,0.004371,0.015067,0.006565,0.0096,0.032738,0.007777,0.044444,0.004914,0.006258,0.004244,0.007564,0.011214,0.006037,0.005687,0.014353,0.00638,0.002612,0.008125,0.005077,0.128575,0.004613,0.0856,0.006008,0.008235,0.02344,0.003428,0.002766,0.008957,0.013142,0.017723,2021-01-06
11,HI,0.006997,9.2e-05,0.000113,0.001491,0.00221,0.001433,0.000167,0.000469,0.000205,0.000249,0.000227,0.993534,0.000167,0.00112,0.000509,0.000223,0.000327,0.000187,0.000175,0.000144,0.000297,7.3e-05,0.000262,0.000515,0.000228,8e-05,0.000376,0.00014,0.000227,0.000441,0.000181,0.000241,0.000647,0.002642,0.000234,0.000158,0.000227,0.002024,0.000135,0.0,0.000189,0.000368,0.000165,0.000425,0.00194,0.000287,8.4e-05,0.003427,0.000267,2.9e-05,0.000656,2021-01-06
12,IA,0.000449,0.001144,0.004192,0.004291,0.000979,0.008838,0.000798,0.00382,0.000955,0.002037,0.001345,0.00123,0.98694,0.005405,0.041217,0.006258,0.01935,0.003691,0.001138,0.000546,0.001162,0.000765,0.002737,0.04484,0.021869,0.001579,0.010494,0.001127,0.015309,0.18619,0.000621,0.000816,0.008833,0.004182,0.000677,0.002662,0.00572,0.002096,0.001672,0.0006,0.001115,0.142795,0.002747,0.001902,0.005614,0.001486,0.001087,0.001529,0.027144,0.002017,0.036222,2021-01-06
13,ID,0.002871,0.000459,0.000625,0.004057,0.002895,0.004211,0.000286,0.001608,0.000511,0.000611,0.000555,0.001202,0.00117,0.98182,0.000791,0.000703,0.001183,0.000689,0.000411,0.00022,0.000343,0.000619,0.000296,0.001401,0.001007,0.000608,0.073083,0.000358,0.009639,0.003692,0.000233,0.00023,0.005549,0.011358,0.000236,0.000488,0.001003,0.02949,0.000376,0.000277,0.000396,0.00361,0.000735,0.000859,0.056179,0.000531,0.000585,0.062632,0.000673,0.000533,0.069579,2021-01-06
14,IL,0.003768,0.005947,0.013642,0.010821,0.002962,0.014031,0.003858,0.027608,0.004058,0.011721,0.007036,0.005093,0.111581,0.007685,0.98882,0.115805,0.019952,0.034929,0.004617,0.003588,0.006341,0.003169,0.022379,0.018701,0.105953,0.007344,0.014424,0.005174,0.01546,0.0204,0.003571,0.003698,0.01822,0.008037,0.003558,0.015613,0.0106,0.003707,0.007791,0.004384,0.005908,0.016813,0.016061,0.005582,0.009664,0.007108,0.004514,0.003218,0.129522,0.009467,0.042666,2021-01-06
15,IN,0.001794,0.004933,0.008277,0.00521,0.0014,0.006182,0.003573,0.029485,0.00474,0.007546,0.005651,0.001202,0.01462,0.004324,0.102406,0.984178,0.008295,0.151136,0.002478,0.002624,0.006433,0.00255,0.055075,0.007394,0.01443,0.004481,0.008069,0.00486,0.00756,0.009173,0.003002,0.003331,0.013781,0.004558,0.00319,0.062691,0.00626,0.001972,0.008459,0.002954,0.005396,0.007187,0.014961,0.002873,0.005149,0.007285,0.004598,0.001559,0.023489,0.01307,0.028524,2021-01-06
16,KS,0.000807,0.001673,0.011641,0.005449,0.001087,0.022769,0.000643,0.005294,0.000955,0.001586,0.001748,0.000887,0.016598,0.004029,0.004684,0.003559,0.982503,0.003256,0.002327,0.000539,0.00109,0.000729,0.001028,0.005289,0.157769,0.002624,0.005352,0.001025,0.005821,0.050217,0.000362,0.000612,0.014636,0.002933,0.000489,0.001716,0.043697,0.001487,0.00117,0.000508,0.001183,0.012969,0.002852,0.005195,0.004333,0.0014,0.000585,0.001208,0.002771,0.0017,0.022198,2021-01-06
17,KY,0.001525,0.011324,0.008676,0.002758,0.00083,0.004446,0.001667,0.018763,0.002455,0.010781,0.01119,0.000772,0.007912,0.003184,0.028732,0.11081,0.006658,0.978012,0.003692,0.001289,0.004036,0.001384,0.017677,0.004341,0.01552,0.008105,0.004223,0.00643,0.003364,0.005411,0.001346,0.001688,0.007445,0.002327,0.001774,0.082966,0.003713,0.001373,0.004616,0.000923,0.00939,0.003844,0.079593,0.00252,0.003425,0.010352,0.001839,0.001124,0.010131,0.068577,0.015694,2021-01-06
18,LA,0.001525,0.01845,0.038973,0.003746,0.00111,0.005395,0.000881,0.010387,0.001091,0.007769,0.007849,0.000744,0.001797,0.002064,0.002537,0.002664,0.003177,0.004,0.988293,0.000728,0.001757,0.000619,0.001081,0.001087,0.00397,0.109734,0.002801,0.003388,0.002003,0.002067,0.000621,0.000883,0.013781,0.002485,0.000742,0.001701,0.007933,0.00127,0.001627,0.000923,0.004669,0.002006,0.007357,0.030551,0.002654,0.003731,0.00117,0.001023,0.001441,0.002406,0.008712,2021-01-06
19,MA,0.000987,0.000608,0.000673,0.000909,0.000476,0.001372,0.128186,0.00965,0.005353,0.003464,0.001224,0.001287,0.000599,0.000747,0.001237,0.001643,0.000439,0.001218,0.000519,0.989646,0.004102,0.072272,0.000816,0.000597,0.000709,0.000591,0.001212,0.001729,0.000416,0.000801,0.386886,0.007668,0.001318,0.000824,0.014559,0.001764,0.000656,0.000516,0.004318,0.546382,0.001962,0.000401,0.001172,0.000573,0.001089,0.003275,0.088363,0.000524,0.000951,0.001672,0.00191,2021-01-06
20,MD,0.000718,0.002018,0.00181,0.001979,0.000766,0.002845,0.012778,0.625209,0.377366,0.006732,0.004202,0.001717,0.001282,0.001592,0.002705,0.004404,0.00189,0.004611,0.001709,0.00779,0.976327,0.007249,0.002522,0.001093,0.002231,0.001835,0.002007,0.010174,0.001058,0.001556,0.006469,0.021155,0.003283,0.001855,0.011138,0.00574,0.001345,0.000475,0.06577,0.010384,0.008572,0.00127,0.003808,0.001646,0.001849,0.106811,0.009112,0.000708,0.002075,0.107658,0.005132,2021-01-06
21,ME,0.0,0.000117,0.000208,0.000192,6.7e-05,0.000249,0.00574,0.00134,0.000648,0.000661,0.000248,8.6e-05,0.000146,0.000197,0.000265,0.000365,0.000126,0.000286,6.1e-05,0.02249,0.00068,0.990274,0.000141,0.000144,0.000154,8e-05,0.00046,0.000405,0.000151,9.3e-05,0.125003,0.001154,0.000416,0.000206,0.00118,0.000388,0.000111,9.3e-05,0.000851,0.011076,0.000413,0.0001,0.000355,0.000114,0.000193,0.000739,0.012289,7.1e-05,0.000239,0.000331,0.000358,2021-01-06
22,MI,0.002602,0.001765,0.00287,0.003117,0.000922,0.003235,0.001774,0.01749,0.001364,0.006211,0.002886,0.001659,0.00466,0.00169,0.015463,0.05104,0.001957,0.008688,0.001242,0.001707,0.003091,0.002477,0.99424,0.004115,0.003711,0.001641,0.003512,0.002479,0.003326,0.003297,0.001449,0.001462,0.003908,0.002618,0.001803,0.037557,0.001905,0.000795,0.003939,0.000969,0.002814,0.003008,0.004762,0.00151,0.002881,0.003287,0.003344,0.001124,0.022599,0.005058,0.00728,2021-01-06
23,MN,0.004665,0.000773,0.001608,0.004431,0.000917,0.004204,0.000726,0.005294,0.000716,0.002872,0.001431,0.00226,0.047244,0.004304,0.005218,0.003655,0.004426,0.001757,0.00076,0.000683,0.00103,0.000729,0.002573,0.991105,0.003606,0.001079,0.02011,0.000849,0.305613,0.009393,0.000595,0.000508,0.003237,0.00297,0.000592,0.001908,0.002214,0.001559,0.001218,0.000831,0.000964,0.106227,0.001717,0.001188,0.003051,0.001203,0.000585,0.002195,0.07821,0.001527,0.015396,2021-01-06
24,MO,0.002153,0.005668,0.120332,0.008951,0.002164,0.014354,0.001667,0.01615,0.002353,0.005016,0.004611,0.002003,0.053826,0.006859,0.089908,0.016559,0.34084,0.016688,0.00912,0.001358,0.003151,0.001566,0.004642,0.011245,0.985858,0.013052,0.009909,0.002879,0.009374,0.040626,0.00132,0.001543,0.022613,0.005988,0.001461,0.006104,0.049967,0.002891,0.003578,0.001338,0.003292,0.014239,0.016485,0.008046,0.007974,0.003707,0.001923,0.002279,0.009925,0.004827,0.034372,2021-01-06
25,MS,0.001166,0.078649,0.043856,0.003262,0.000866,0.003518,0.000834,0.010253,0.001228,0.008938,0.01231,0.000515,0.003183,0.001867,0.003776,0.00372,0.00459,0.006953,0.12447,0.000554,0.001764,0.000583,0.001129,0.001451,0.009295,0.983284,0.003136,0.003829,0.001663,0.002485,0.000647,0.000924,0.011445,0.002024,0.000657,0.002143,0.007557,0.000898,0.001747,0.000923,0.006248,0.001838,0.079954,0.009107,0.002337,0.004179,0.00092,0.00075,0.002003,0.002911,0.008593,2021-01-06
26,MT,0.001525,0.000431,0.000447,0.001548,0.00086,0.002791,0.000345,0.001273,0.000205,0.000613,0.000774,0.000744,0.001107,0.028852,0.000723,0.000472,0.000781,0.000391,0.000363,0.000205,0.000284,0.000146,0.000275,0.002978,0.00053,0.000591,0.980517,0.000374,0.052504,0.001672,0.000181,0.00016,0.001804,0.002558,0.0002,0.000335,0.000646,0.003542,0.000292,0.000277,0.00043,0.009861,0.000691,0.000639,0.005705,0.000373,0.000418,0.008472,0.000962,0.000274,0.067669,2021-01-06
27,NC,0.001615,0.014676,0.005627,0.003756,0.001572,0.005469,0.010742,0.075655,0.021857,0.035644,0.044203,0.001831,0.004332,0.002614,0.005456,0.008892,0.003258,0.013839,0.006784,0.007358,0.026685,0.008123,0.005894,0.002689,0.004553,0.010252,0.003972,0.98798,0.001777,0.003181,0.005796,0.011692,0.006081,0.003236,0.00886,0.011671,0.00353,0.001477,0.012891,0.007846,0.243784,0.003577,0.035385,0.003259,0.003607,0.104091,0.007691,0.001624,0.004807,0.030982,0.009846,2021-01-06
28,ND,9e-05,6.7e-05,0.000286,0.001179,0.000144,0.001096,9.5e-05,0.000536,0.000102,0.000215,0.00014,0.000229,0.001985,0.002614,0.000587,0.000561,0.00087,0.000325,0.000118,7.6e-05,0.000159,7.3e-05,0.000198,0.049401,0.000512,0.000187,0.045154,0.000117,0.985863,0.00274,0.000129,7.4e-05,0.00104,0.000739,7.9e-05,0.000235,0.000608,0.000692,0.000183,0.000185,0.000112,0.032924,0.000222,0.000246,0.000919,0.000181,8.4e-05,0.000773,0.002036,0.000216,0.009906,2021-01-06
29,NE,0.000449,0.000675,0.002173,0.003912,0.001007,0.020307,0.0005,0.002747,0.000716,0.000906,0.000763,0.000916,0.100966,0.007292,0.004037,0.002572,0.027525,0.001879,0.000765,0.000334,0.000786,0.000546,0.00135,0.007381,0.008825,0.000846,0.007024,0.000571,0.010735,0.986288,0.000362,0.00056,0.008116,0.004788,0.000445,0.001264,0.004196,0.002499,0.001001,0.000738,0.000581,0.100344,0.001442,0.00142,0.00828,0.000853,0.000669,0.001463,0.003399,0.001095,0.088555,2021-01-06
30,NH,0.000269,0.000177,0.000256,0.000317,0.000129,0.000397,0.01697,0.002613,0.00208,0.001185,0.000367,0.000257,0.00016,0.000295,0.000304,0.000511,0.000134,0.000375,0.000113,0.177463,0.001255,0.140208,0.000205,0.000157,0.000217,0.000148,0.000627,0.000566,7.6e-05,0.00029,0.981318,0.002129,0.000509,0.00023,0.002343,0.000619,0.000174,0.000207,0.001311,0.046013,0.000654,0.000234,0.000447,0.000161,0.000567,0.001065,0.240846,0.000101,0.000312,0.000476,0.001074,2021-01-06
31,NJ,0.000628,0.001622,0.001792,0.001907,0.00116,0.002724,0.044431,0.044696,0.127152,0.009066,0.003253,0.00206,0.001379,0.001061,0.003094,0.003859,0.001354,0.003047,0.001435,0.016445,0.027451,0.013077,0.002008,0.001112,0.001729,0.001585,0.002174,0.006251,0.00121,0.001533,0.011411,0.988534,0.004069,0.002061,0.146892,0.004742,0.001437,0.00095,0.121103,0.02026,0.006855,0.001337,0.003121,0.001353,0.001962,0.014885,0.034192,0.000779,0.001647,0.005634,0.006862,2021-01-06
32,NM,0.000807,0.001388,0.005419,0.030203,0.004816,0.027605,0.000429,0.003686,0.000682,0.001185,0.00132,0.000744,0.002417,0.005169,0.002013,0.001989,0.006078,0.001548,0.004404,0.000341,0.000912,0.000546,0.000769,0.00125,0.003557,0.002857,0.00439,0.000789,0.002344,0.004447,0.000828,0.000616,0.956253,0.009612,0.00045,0.001165,0.014897,0.002932,0.001007,0.000462,0.000865,0.002908,0.002237,0.023253,0.009267,0.001407,0.000585,0.001832,0.001063,0.000951,0.022198,2021-01-06
33,NV,0.00323,0.001242,0.001816,0.035455,0.036357,0.010527,0.000417,0.004691,0.000511,0.001975,0.001956,0.00907,0.002821,0.034276,0.002591,0.002192,0.002812,0.001752,0.001723,0.000501,0.001037,0.000692,0.002106,0.00326,0.002262,0.001068,0.013128,0.000958,0.005216,0.005631,0.000518,0.000905,0.01822,0.977406,0.000628,0.001473,0.003231,0.010955,0.000854,0.000415,0.001016,0.004479,0.001619,0.00364,0.073533,0.001242,0.000251,0.00727,0.002214,0.000879,0.032343,2021-01-06
34,NY,0.000807,0.00173,0.001894,0.00226,0.001206,0.002744,0.178679,0.039469,0.027279,0.010188,0.003764,0.001688,0.00172,0.001631,0.003564,0.005283,0.001466,0.003928,0.001657,0.034202,0.017325,0.01723,0.003322,0.001872,0.002055,0.00163,0.002258,0.006482,0.001474,0.00202,0.02083,0.200735,0.003422,0.002558,0.993025,0.009155,0.001804,0.000867,0.053267,0.033875,0.00639,0.001304,0.003263,0.001623,0.003017,0.012117,0.148387,0.00075,0.002292,0.007709,0.006504,2021-01-06
35,OH,0.001704,0.004277,0.006312,0.004535,0.001375,0.005159,0.00599,0.062923,0.007331,0.00883,0.006202,0.001373,0.007265,0.003872,0.014939,0.079654,0.005193,0.128399,0.0027,0.00424,0.012596,0.004626,0.069729,0.004711,0.008039,0.004152,0.005895,0.008658,0.004876,0.006316,0.004942,0.006087,0.010729,0.003794,0.00672,0.990848,0.00488,0.001724,0.046366,0.004569,0.008873,0.005014,0.013177,0.002654,0.00448,0.012939,0.008527,0.001416,0.009502,0.231209,0.0219,2021-01-06
36,OK,0.002063,0.00295,0.092214,0.011491,0.00255,0.01198,0.000846,0.007572,0.001091,0.001852,0.002444,0.001431,0.009591,0.004186,0.005349,0.004461,0.077748,0.003989,0.007322,0.000546,0.001552,0.00102,0.001558,0.00517,0.03337,0.005504,0.005017,0.001537,0.005783,0.013677,0.000828,0.000927,0.044949,0.005588,0.000799,0.002495,0.986342,0.002034,0.001831,0.000738,0.001631,0.007788,0.0048,0.038668,0.005013,0.002449,0.001087,0.001267,0.003388,0.002046,0.023093,2021-01-06
37,OR,0.008253,0.000282,0.00056,0.004203,0.007152,0.002906,0.000214,0.001675,0.00017,0.000465,0.000365,0.00495,0.000815,0.081406,0.000694,0.000541,0.000744,0.000578,0.000297,0.000197,0.000343,0.000437,0.000262,0.00081,0.000775,0.00046,0.013797,0.000306,0.002759,0.00245,0.000311,0.000245,0.004208,0.009043,0.000219,0.000396,0.000844,0.989891,0.000412,0.000415,0.000267,0.001905,0.000621,0.000726,0.008994,0.000499,0.000251,0.124223,0.000478,0.000562,0.022079,2021-01-06
38,PA,0.001794,0.002709,0.003763,0.003335,0.001317,0.004231,0.0214,0.107284,0.316364,0.008313,0.004898,0.001516,0.003517,0.002575,0.006615,0.01062,0.002901,0.008705,0.002266,0.011127,0.137637,0.011948,0.006523,0.002506,0.004051,0.002806,0.004724,0.009442,0.002759,0.003623,0.010557,0.169349,0.007052,0.003006,0.054764,0.040885,0.00284,0.001125,0.986231,0.013384,0.010143,0.002774,0.006419,0.002057,0.003414,0.032486,0.024411,0.001154,0.004462,0.113969,0.012472,2021-01-06
39,RI,0.0,0.00012,0.000131,0.000166,9.7e-05,0.000155,0.050231,0.002412,0.000784,0.000706,0.000221,0.000401,9.1e-05,0.000157,0.000212,0.000273,9.7e-05,0.00022,0.000113,0.098266,0.001004,0.006156,0.000128,8.8e-05,0.000168,0.000165,0.0,0.000361,3.8e-05,0.000186,0.011411,0.001922,0.000231,0.000121,0.001936,0.00032,0.000125,4.1e-05,0.000956,0.976325,0.000491,0.0,0.000253,0.000131,0.000102,0.000649,0.006688,4.2e-05,0.000106,0.000216,0.000179,2021-01-06
40,SC,0.000987,0.009955,0.00343,0.001995,0.000789,0.002751,0.008015,0.03967,0.013639,0.032654,0.067905,0.000658,0.001992,0.001985,0.003508,0.005502,0.002083,0.009592,0.004239,0.004961,0.016275,0.003315,0.003795,0.001526,0.002708,0.005987,0.002509,0.162426,0.00121,0.001556,0.003338,0.008714,0.005226,0.001661,0.005944,0.008383,0.0019,0.000795,0.008549,0.0048,0.983742,0.001471,0.014581,0.002288,0.002348,0.029986,0.003678,0.000928,0.002526,0.0182,0.006743,2021-01-06
